City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,tidore,-10.1667,123.5833,299.59,87,100,2.6,ID,1668369638
125,tidore,-2.5744,150.7967,301.34,74,100,6.64,PG,1668369639
126,tidore,-22.116,14.2845,288.33,91,0,3.52,NA,1668369639
127,tidore,-17.3511,-44.9622,302.07,50,95,0.9,BR,1668369639
128,tidore,18.6411,72.8792,300.19,68,2,2.69,IN,1668369588
129,tidore,-34.4833,-54.3333,293.87,88,100,5.41,UY,1668369640
130,tidore,47.2456,47.0281,280.82,65,7,10.2,RU,1668369640
131,tidore,51.1,66.3167,274.52,97,100,13.63,KZ,1668369641
132,tidore,63.05,179.3167,262.11,91,99,2.08,RU,1668369641
133,tidore,50.4638,-3.5143,287.15,97,93,0.89,GB,1668369417
134,tidore,64.3833,-173.3,262.67,61,5,2.35,RU,1668369641
135,tidore,14.0351,-83.3888,301.22,77,84,4.9,NI,1668369642
136,tidore,7.5264,-12.505,299.41,80,90,2.13,SL,1668369642
137,tidore,68.0531,39.5131,274.97,66,100,7.46,RU,1668369643
138,tidore,40.2039,140.0242,281.47,70,85,7.12,JP,1668369643
139,tidore,28.3667,129.4833,292.15,78,82,5.65,JP,1668369643
140,tidore,-41.8697,-73.8203,286.06,81,67,7.96,CL,1668369644
141,tidore,3.1655,-52.3158,299.86,76,100,1.29,GF,1668369644
142,tidore,60.34,102.2797,257.56,93,100,4.49,RU,1668369645
143,tidore,52.7,115.1667,258.37,97,19,1.25,RU,1668369645
144,tidore,-33.8667,121.9,286.23,70,100,3.73,AU,1668369645
145,tidore,40.1629,-8.3327,288.75,91,100,2.14,PT,1668369646
146,tidore,-45.8742,170.5036,284.15,76,100,2.24,NZ,1668369631
147,tidore,45.5234,-122.6762,282.07,79,100,0.89,US,1668369620
148,tidore,6.3871,-0.3774,295.29,91,89,1.63,GH,1668369647
149,tidore,22.2855,114.1577,297.25,85,18,5.36,HK,1668369466
150,tidore,73.5069,80.5464,253.37,100,100,3.92,RU,1668369647
151,tidore,-38.0023,-57.5575,294.17,94,100,4.92,AR,1668369605
152,tidore,-16.4833,-151.75,297.15,70,100,1.77,PF,1668369648
153,tidore,-26.6167,-54.1333,293.33,75,100,1.36,AR,1668369648
154,tidore,41.7711,34.8709,280.57,81,5,1.29,TR,1668369649
155,tidore,51.9153,-8.1805,284.03,94,100,0.91,IE,1668369650
156,tidore,9.3503,-65.3245,302.33,71,93,2.63,VE,1668369650
157,tidore,39.9683,-3.931,289.99,68,92,2.77,ES,1668369651
158,tidore,-2.9701,119.8978,293.32,99,100,0.59,ID,1668369651
159,tidore,34.1356,-116.0542,289.22,33,0,0.89,US,1668369651
160,tidore,41.3165,-73.0932,285.53,59,75,4.12,US,1668369497
161,tidore,20.8947,-156.47,299.73,82,9,4.02,US,1668369652
162,tidore,-6.6447,-51.995,305.78,45,79,2.79,BR,1668369652
163,tidore,11.75,-2.9333,301.74,48,67,1.61,BF,1668369653
164,tidore,-0.7193,8.7815,300.13,89,40,4.63,GA,1668369653
165,tidore,65.75,150.85,239.91,96,30,3.18,RU,1668369654
166,tidore,39.0843,66.8332,278.68,55,38,0.61,UZ,1668369654
167,tidore,47.9417,-97.4337,268.0,79,100,3.09,US,1668369654
168,tidore,51.4667,140.7833,263.79,89,31,2.28,RU,1668369655
